date,speaker,party,committee,text,url
2025-05-30,会議録情報,,議院運営委員会,令和七年五月三十日（金曜日） 正午開議出席委員委員長浜田靖一君理事村井英樹君理事田野瀬太道君理事井出庸生君理事井野俊郎君理事青柳陽一郎君理事道下大樹君理事吉田はるみ君理事中司宏君理事村岡敏英君上田英俊君鈴木隼人君高木啓君深澤陽一君三谷英弘君山本大地君五十嵐えり君伊藤俊輔君高松智之君長友よしひろ君三木圭恵君臼木秀剛君吉田宣弘君山川仁君塩川鉄也君 ... 議長額賀福志郎君副議長玄葉光一郎君事務総長築山信彦君 ――――――――――――― 委員の異動五月三十日辞任補欠選任森下千里君山本大地君金村龍那君三木圭恵君同日辞任補欠選任山本大地君森下千里君三木圭恵君金村龍那君 ――――――――――――― 本日の会議に付した案件本日の本会議の議事等に関する件 ――――◇―――――,https://kokkai.ndl.go.jp/txt/121704024X03120250530/0
2025-05-30,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長これより会議を開きます。まず、本日厚生労働委員会の審査を終了した社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案について、委員長から緊急上程の申出があります。この際、発言を求められておりますので、順次これを許します。中司宏君。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/1
2025-05-30,中司宏,日本維新の会,議院運営委員会,○中司委員そもそも、この法案につきましては、重要広範でありながら与党内がなかなかまとまらないということで、法案提出の時期が大幅に遅れたという、いわくつきの法案だと思います。これまで参考人質疑を合わせて二十二時間審議をされており、重要広範として一定の時間は確保されていますけれども、現場の委員会では、更に審議をすべきという声もありました。そうした中で、今回は、現場のルールとして、自民、立憲の筆頭間で協議が調って採決となりました。それは今のルールでは重いものと受けざるを得ないと考えておりまして、緊急上程に我々は賛成しますけれども、今後、国会改革の一環として、筆頭間の協議で決めていくというルールを変えていかなければならない、そういう考えでありますので、よろしくお願いします。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/2
2025-05-30,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長村岡敏英君。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/3
2025-05-30,村岡敏英,国民民主党・無所属クラブ,議院運営委員会,○村岡委員私ども国民民主党は、緊急上程に反対であります。先ほど維新も述べられておりましたが、重要広範であり、早めに提出が行われて審議をしっかりするというのが、これが政治の常道だと思っております。しかしながら、大変大幅に遅れ、その上、先週、本会議で趣旨説明したばかりという中で、緊急に採決をして、そして緊急上程というのには、強く抗議を申し上げます。そして、さらには、我々、今日、法案を提出しました。全く審議をされないということにも抗議をいたしますし、政府・与党だけではなく、野党第一党が、いつも、慎重審議と言っているのが常でありながら、慎重審議に野党と一緒になって取り組まないということにも強く抗議をして、反対させていただきます。以上です。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/4
2025-05-30,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長山川仁君。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/5
2025-05-30,山川仁,れいわ新選組,議院運営委員会,○山川委員政府提出の重要広範の年金法案につきましては、御承知のとおり、二か月も予定より提出が遅れ、今月十六日金曜日に法案が提出されたと思えば、二週間という短い期間で、議論より成立を優先させ、今国会のテーマの一つである熟議という内容にはほど遠く、各会派の皆さん方も、拙速過ぎだという御意見もあったかと思います。今回、多くの政党会派が反対を表明している中でありますけれども、そういった中で、政権与党の一部の中では、この法案について、毒入りあんパンだとやゆするような報道もされ、その毒入りと言われているあんパンに乗っかった野党第一党も、そのあんパンから少しずつ毒を抜いたとしても、国民は気持ち悪くて、口に入れられるのかというものになっているのではないかと思っております。そのような内容をどのように受け止め、国民へ説明責任を果たしていくのかという議論が、やはり短過ぎる。その中で、この重要広範の中の所定の時間、手続は踏んだというようなお話もあるかと思いますけれども、その中でも、やはりもう少し丁寧に議論すべきだというふうに私たちれいわ新選組は思っています。なお、立法府として、行政機関の請負機関では私たちはあ...,https://kokkai.ndl.go.jp/txt/121704024X03120250530/6
2025-05-30,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長塩川鉄也君。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/7
2025-05-30,塩川鉄也,日本共産党,議院運営委員会,○塩川委員私は、日本共産党を代表して、年金法案の本会議への緊急上程の提案に反対の意見を申し述べます。物価が上がっても年金給付水準は引き上がるどころか実質マイナスとなっている原因は、マクロ経済スライドにあります。政府・与党は百年安心の年金と言い続けてきましたが、マクロ経済スライド導入で、この二十年間に公的年金の給付水準は実質一割も削減されてしまいました。政府案及び自公立の修正案は、マクロ経済スライドを止めるものではありません。我が党は、年金生活者の暮らしを守り、現役世代の大幅減額を避けるために、マクロ経済スライドを直ちに停止することを求める修正案を提出しました。これから本格的に年金制度の議論を進めていくときなのに、参考人質疑を含む僅か二十二時間で質疑終局、採決、そして本会議への緊急上程など、断じて認めることはできません。地方公聴会で広く国民の声を聞くことを始め、徹底審議こそ行うべきだと申し述べ、意見表明とします。,https://kokkai.ndl.go.jp/txt/121704024X03120250530/8
2025-05-30,浜田靖一,自由民主党・無所属の会,議院運営委員会,○浜田委員長それでは、本法律案は、本日の本会議において緊急上程するに賛成の諸君の挙手を求めます。〔賛成者挙手〕,https://kokkai.ndl.go.jp/txt/121704024X03120250530/9
