house,bill_number,bill_name,status,submission_date
shugiin,217,3,政党助成法を廃止する法律案,参議院で審議中
shugiin,217,4,学校教育法の一部を改正する法律案,参議院で審議中
shugiin,217,5,自殺対策基本法の一部を改正する法律案,成立
shugiin,217,6,大深度地下の公共的使用に関する特別措置法の廃止に関する措置等に関する法律案,参議院で審議中
shugiin,217,7,労働安全衛生法及び特定受託事業者に係る取引の適正化等に関する法律の一部を改正する法律案,参議院で審議中
shugiin,217,8,児童の朝の居場所の確保を図るための措置等に関する法律案,参議院で審議中
shugiin,217,1,所得税法等の一部を改正する法律案,成立
shugiin,217,2,地方税法及び地方税法等の一部を改正する法律の一部を改正する法律案,成立
shugiin,217,3,地方交付税法等の一部を改正する法律案,成立
shugiin,217,4,重要電子計算機に対する不正な行為による被害の防止に関する法律案,成立
shugiin,217,5,重要電子計算機に対する不正な行為による被害の防止に関する法律の施行に伴う関係法律の整備等に関する法律案,成立
shugiin,217,6,関税定率法等の一部を改正する法律案,成立
shugiin,217,7,国際開発協会への加盟に伴う措置に関する法律及び米州投資公社への加盟に伴う措置に関する法律の一部を改正する法律案,成立
shugiin,217,8,大学等における修学の支援に関する法律の一部を改正する法律案,成立
shugiin,217,9,公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律案,参議院で審議中
shugiin,217,10,戦没者等の遺族に対する特別弔慰金支給法の一部を改正する法律案,成立
shugiin,217,11,情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律案,成立
shugiin,217,12,道路法等の一部を改正する法律案,成立
shugiin,217,13,港湾法等の一部を改正する法律案,成立
shugiin,217,14,裁判所職員定員法の一部を改正する法律案,成立
shugiin,217,15,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律案,成立
shugiin,217,16,防衛省設置法等の一部を改正する法律案,成立
shugiin,217,17,災害対策基本法等の一部を改正する法律案,成立
shugiin,217,18,株式会社地域経済活性化支援機構法の一部を改正する法律案,成立
shugiin,217,19,電波法及び放送法の一部を改正する法律案,成立
shugiin,217,20,国会議員の選挙等の執行経費の基準に関する法律の一部を改正する法律案,成立
shugiin,217,21,医療法等の一部を改正する法律案,衆議院で審議中
shugiin,217,22,土地改良法等の一部を改正する法律案,成立
shugiin,217,23,独立行政法人国際協力機構法の一部を改正する法律案,成立
shugiin,217,24,株式会社日本政策投資銀行法の一部を改正する法律案,成立
shugiin,217,25,特別会計に関する法律の一部を改正する法律案,成立
shugiin,217,26,漁業災害補償法の一部を改正する法律案,成立
shugiin,217,27,鳥獣の保護及び管理並びに狩猟の適正化に関する法律の一部を改正する法律案,成立
shugiin,217,28,脱炭素成長型経済構造への円滑な移行の推進に関する法律及び資源の有効な利用の促進に関する法律の一部を改正する法律案,成立
shugiin,217,29,人工知能関連技術の研究開発及び活用の推進に関する法律案,成立
shugiin,217,30,情報通信技術の進展等に対応するための刑事訴訟法等の一部を改正する法律案,成立
shugiin,217,31,森林経営管理法及び森林法の一部を改正する法律案,成立
shugiin,217,32,公益通報者保護法の一部を改正する法律案,成立
shugiin,217,33,円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案,成立
shugiin,217,34,老朽化マンション等の管理及び再生の円滑化等を図るための建物の区分所有等に関する法律等の一部を改正する法律案,成立
shugiin,217,35,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律案,成立
shugiin,217,36,日本学術会議法案,参議院で審議中
shugiin,217,37,保険業法の一部を改正する法律案,成立
shugiin,217,38,信託業法の一部を改正する法律案,参議院で審議中
shugiin,217,39,資金決済に関する法律の一部を改正する法律案,成立
shugiin,217,40,児童福祉法等の一部を改正する法律案,成立
shugiin,217,41,行政手続における特定の個人を識別するための番号の利用等に関する法律及び住民基本台帳法の一部を改正する法律案,成立
shugiin,217,42,民事裁判情報の活用の促進に関する法律案,成立
shugiin,217,43,譲渡担保契約及び所有権留保契約に関する法律案,成立
shugiin,217,44,譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律案,成立
shugiin,217,45,食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律案,参議院で審議中
shugiin,217,46,海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案,成立
shugiin,217,47,風俗営業等の規制及び業務の適正化等に関する法律の一部を改正する法律案,成立
shugiin,217,48,下請代金支払遅延等防止法及び下請中小企業振興法の一部を改正する法律案,成立
shugiin,217,49,盗難特定金属製物品の処分の防止等に関する法律案,参議院で審議中
shugiin,217,50,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律案,成立
shugiin,217,51,環境影響評価法の一部を改正する法律案,参議院で審議中
shugiin,217,52,独立行政法人男女共同参画機構法案,衆議院で審議中
shugiin,217,53,独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案,衆議院で審議中
shugiin,217,54,電気通信事業法及び日本電信電話株式会社等に関する法律の一部を改正する法律案,成立
shugiin,217,55,航空法等の一部を改正する法律案,成立
shugiin,217,56,日本国の自衛隊と我が国以外の締約国の軍隊との間における相互のアクセス及び協力の円滑化に関する日本国と我が国以外の締約国との間の協定の実施に関する法律案,成立
shugiin,217,57,労働安全衛生法及び作業環境測定法の一部を改正する法律案,成立
shugiin,217,58,船員法等の一部を改正する法律案,成立
shugiin,217,59,社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案,参議院で審議中
shugiin,217,1,令和七年度一般会計予算,参議院回付案（同意）
shugiin,217,2,令和七年度特別会計予算,成立
shugiin,217,3,令和七年度政府関係機関予算,成立
shugiin,217,2,所得に対する租税に関する二重課税の除去並びに脱税及び租税回避の防止のための日本国とトルクメニスタンとの間の条約の締結について承認を求めるの件,両院承認
shugiin,217,3,所得に対する租税に関する二重課税の除去並びに脱税及び租税回避の防止のための日本国とアルメニア共和国との間の条約の締結について承認を求めるの件,両院承認
shugiin,217,4,経済上の連携に関する日本国とインドネシア共和国との間の協定を改正する議定書の締結について承認を求めるの件,両院承認
shugiin,217,5,航空業務に関する日本国とチェコ共和国との間の協定の締結について承認を求めるの件,両院承認
shugiin,217,6,航空業務に関する日本国とルクセンブルク大公国との間の協定の締結について承認を求めるの件,両院承認
shugiin,217,7,日本国の自衛隊とフィリピンの軍隊との間における相互のアクセス及び協力の円滑化に関する日本国とフィリピン共和国との間の協定の締結について承認を求めるの件,両院承認
shugiin,217,8,日本国の自衛隊とイタリア共和国の軍隊との間における物品又は役務の相互の提供に関する日本国政府とイタリア共和国政府との間の協定の締結について承認を求めるの件,両院承認
shugiin,217,9,千九百九十四年四月十五日にマラケシュで作成された世界貿易機関を設立するマラケシュ協定のサービスの貿易に関する一般協定の日本国の特定の約束に係る表の改善に関する確認書の締結について承認を求めるの件,両院承認
shugiin,217,10,東南アジア諸国連合貿易投資観光促進センターを設立する協定の第二次改正の受諾について承認を求めるの件,両院承認
shugiin,217,11,海洋法に関する国際連合条約に基づくいずれの国の管轄にも属さない区域における海洋の生物の多様性の保全及び持続可能な利用に関する協定の締結について承認を求めるの件,両院承認
shugiin,217,12,職業上の安全及び健康並びに作業環境に関する条約（第百五十五号）の締結について承認を求めるの件,両院承認
shugiin,217,13,千九百九十五年の漁船員の訓練及び資格証明並びに当直の基準に関する国際条約の締結について承認を求めるの件,両院承認
shugiin,217,2,特定船舶の入港の禁止に関する特別措置法第五条第一項の規定に基づき、特定船舶の入港禁止の実施につき承認を求めるの件,両院承認
shugiin,217,3,外国為替及び外国貿易法第十条第二項の規定に基づき、北朝鮮を仕向地とする貨物の輸出及び北朝鮮を原産地又は船積地域とする貨物の輸入につき承認義務を課する等の措置を講じたことについて承認を求めるの件,参議院で審議中
shugiin,216,令和五年度一般会計原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費使用総調書及び各省各庁所管使用調書,両院承諾,経過
shugiin,216,令和五年度一般会計予備費使用総調書及び各省各庁所管使用調書,両院承諾,経過
shugiin,216,令和五年度特別会計予備費使用総調書及び各省各庁所管使用調書,両院承諾,経過
shugiin,216,令和五年度特別会計予算総則第二十一条第一項の規定による経費増額総調書及び各省各庁所管経費増額調書,両院承諾,経過
shugiin,217,令和六年度一般会計原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費使用総調書及び各省各庁所管使用調書（その１）,衆議院で審議中,経過
shugiin,217,令和六年度一般会計予備費使用総調書及び各省各庁所管使用調書（その１）,衆議院で審議中,経過
